nome,endereco,especialidades,latitude,longitude
Posto de Saúde Dom Aloísio Lorscheider,Rua Betel 1895 - Fortaleza - CE,diabetes,-3.7951753,-38.5544211
Posto de Saúde Anastácio Magalhães,Rua Delmiro de Farias 1679 - Fortaleza - CE,hipertensao,-3.7460689,-38.5526004
Unidade Básica de Saúde - Dr Luis Costa,Rua Marechal Deodoro 1501 - Fortaleza - CE,asma,-3.7487739,-38.5387833
Posto de Saúde Manoel Carlos Gouveia,Avenida Desembargador Faustino Albuquerque 486 - Fortaleza - CE,anemia,-3.7837902,-38.4991045
Posto de Saúde Uaps Mattos Dourado,Rua Desembargador Floriano Benevides Magalhães 391 - Fortaleza - CE,insuficiencia renal,-3.7723222,-38.4792129
Posto de Saúde Dr. Paulo de Melo Machado,Rua Bernardo Porto 497 - Fortaleza - CE,depressao,-3.7214827,-38.5575431
